COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE,COLUMN_DEFAULT
id,int,,NO,
bill_id,varchar,100,NO,
bill_number,varchar,50,NO,
title,varchar,-1,NO,
description,varchar,-1,YES,
state,varchar,50,NO,
state_abbr,varchar,5,YES,
status,varchar,100,YES,
category,varchar,50,YES,
introduced_date,varchar,20,YES,
last_action_date,varchar,20,YES,
session_id,varchar,50,YES,
session_name,varchar,100,YES,
bill_type,varchar,50,YES,
body,varchar,20,YES,
legiscan_url,varchar,-1,YES,
pdf_url,varchar,-1,YES,
ai_summary,varchar,-1,YES,
ai_executive_summary,varchar,-1,YES,
ai_talking_points,varchar,-1,YES,
ai_key_points,varchar,-1,YES,
ai_business_impact,varchar,-1,YES,
ai_potential_impact,varchar,-1,YES,
ai_version,varchar,50,YES,
created_at,varchar,30,NO,
last_updated,varchar,30,NO,
reviewed,bit,,NO,((0))
legiscan_status,nvarchar,255,YES,
session,varchar,255,YES,
is_new,bit,,YES,((0))
first_viewed_at,datetime,,YES,
