COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE,COLUMN_DEFAULT
id,int,,NO,
user_id,int,,NO,
order_id,varchar,255,NO,
order_type,varchar,50,NO,
highlighted_at,datetime,,YES,
notes,varchar,-1,YES,
priority_level,int,,YES,
tags,varchar,-1,YES,
is_archived,bit,,YES,
title,nvarchar,-1,YES,
description,nvarchar,-1,YES,
ai_summary,nvarchar,-1,YES,
category,nvarchar,50,YES,
state,nvarchar,50,YES,
signing_date,nvarchar,50,YES,
html_url,nvarchar,500,YES,
pdf_url,nvarchar,500,YES,
legiscan_url,nvarchar,500,YES,
